user_id,user_email
12345,ajheschl@gmail.com
3439872,aheschl@shaw.ca
12342,ajheschl@gmail.com
12342,ajheschl@gmail.com
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
23232323,fadslfkjasf
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
18,sfdfsd
